;;Video name;Instrument Type;Main goals;Target goal;Function;Fatigue related (cosa proporre dopo video pesante);Livello (1-10);Carico cognitivo (basso-medio-alto);Carico fisico (basso-medio-alto);Prerequisiti
15;https://www.youtube.com/watch?v=oN1QQELwT70;Colin lip flexibility to E - Play along trumpet BFlat;Bflat;Lip trill, flexibility, intervals;Flexibility;Check;Breathing;3;Basso;Basso;
16;https://www.youtube.com/watch?v=xAYlJfIT5aE;Mouthpiece exercises trumpet | Advanced level;Mouthpiece;Mouthpiece, vibration, airflow, warmup, ;Mouthpiece;Check;Legato, sound centrature;7;Medio;Medio;
17;https://www.youtube.com/watch?v=-Zr9ueuhzjM;Stamp warm up 3 Trumpet SIB;Bflat;Range, sound development, intervals, airflow;Warm up;Warm up, check;Low register, breathing;10;Alto;Alto;
18;https://www.youtube.com/watch?v=8HQ2038r5PE;James Stamp - Flexibility exercise no.1 trumpet C trumpet;C;Lip trill, flexibility, intervals;Flexibility;Core exercise;Rest, breathing;6;Medio;Medio;
19;https://www.youtube.com/watch?v=CaS6gdOsGTk;Maurizio Clementi Sonatina Op 36 n.1 accompaniment;Piano accompaniment;Musicality, octaves, staccato, dexterity;Music;Core exercise;Flexibility, range;6;Medio;Medio;
20;https://www.youtube.com/watch?v=KiOahNpT-H8;Bb 🎺 Jean Baptiste Arban - Triple tonguing trumpet (advanced);Bflat;Triple tongue, articulations, airflow;Staccato;Core exercise;Rest, legato;6;Medio;Medio;
21;https://www.youtube.com/watch?v=F5BRtLL66gU;Jean Baptiste Arban - Triple tonguing trumpet (advanced);C;Triple tongue, articulations, airflow;Staccato;Core exercise;Rest, legato;6;Medio;Medio;
22;https://www.youtube.com/watch?v=uFDEWuCm8PA;Max Schlossberg interval study slurs for trumpet - No. 36;Bflat;Intervals, sound development, dynamics;Intervals;Core exercise;Staccato simple, sound development;7;Medio;Medio;
23;https://www.youtube.com/watch?v=WlZ9uTZBIgA;Warm Up A. Plog C trumpet high C;C;Range, breathing, dynamics, sound development;Sound development;Core exercise;Rest, breathing, sound development;10;Medio;Alto;
24;https://www.youtube.com/watch?v=1D4cRXuk_oo;Warm Up A. Plog Bb trumpet high C;Bflat;Range, breathing, dynamics, sound development;Sound development;Core exercise;Rest, breathing, sound development;10;Medio;Alto;
25;https://www.youtube.com/watch?v=9PhKdlsJWNE;3 ways of warm down;Bflat;Warm down;Warm down;Recovery;Rest, breathing;4;Basso;Basso;
26;https://www.youtube.com/watch?v=ltjcQJ9HK9U;Warm Up A. Plog C trumpet to the middle B;C;Range, breathing, dynamics, sound development;Sound development;Core exercise;Rest, breathing, sound development;10;Medio;Alto;
27;https://www.youtube.com/watch?v=94Rz2LdBSXA;Warm Up A. Plog Bb trumpet middle B;Bflat;Range, breathing, dynamics, sound development;Sound development;Core exercise;Rest, breathing, sound development;9;Medio;Alto;
28;https://www.youtube.com/watch?v=ZOdZum4aM3g;Colin's flexibility trumpet - Flessibilità Charles Colin;Bflat;Airflow, flexibility, intervals, range;Flexibility;Core exercise;Flexibility, range;6;Medio;Medio;
29;https://www.youtube.com/watch?v=XTEF2eKSOsc;Warm Up A. Plog Bb trumpet middle A;Bflat;Range, breathing, dynamics, sound development;Sound development;Core exercise;Rest, breathing, sound development;7;Medio;Alto;
30;https://www.youtube.com/watch?v=knyJKQlXhSQ;ENG - Trumpet's tools, spirometer, embouchure visualiser, berp, breathing bag;TheoryENG;Breathing tools, embouchure, tools, accessories;Theory lesson;Rest;Theory lesson;1;Medio;Basso;
31;https://www.youtube.com/watch?v=3VzjNZxxWTg;ITA - Accessori per la tromba, spirometro, berp, anello visualizzatore e sacca;TheoryITA;Breathing tools, embouchure, tools, accessories;Theory lesson;Rest;Theory lesson;1;Medio;Basso;
32;https://www.youtube.com/watch?v=LM380rdHMQs;Warm Up A. Plog C trumpet to the middle G;C;Range, breathing, dynamics, sound development;Sound development;Core exercise;Rest, breathing, sound development;7;Medio;Alto;
33;https://www.youtube.com/watch?v=e2-PEqGdl54;Warm Up A. Plog Bb trumpet to the middle G;Bflat;Range, breathing, dynamics, sound development;Sound development;Core exercise;Rest, breathing, sound development;5;Medio;Medio;
34;https://www.youtube.com/watch?v=iX3dDu2xsIk;Warm Up A. Plog C trumpet to the middle F;C;Range, breathing, dynamics, sound development;Sound development;Core exercise;Rest, breathing, sound development;6;Medio;Medio;
35;https://www.youtube.com/watch?v=t0Qge44U0zo;Warm Up A. Plog Bb trumpet to the middle F;Bflat;Range, breathing, dynamics, sound development;Sound development;Core exercise;Rest, breathing, sound development;4;Medio;Medio;
36;https://www.youtube.com/watch?v=_M8gxU4cwTs;4 - Il ritmo;TheoryITA;Rhytm;Theory lesson;Rest;Theory lesson;1;Medio;Basso;
37;https://www.youtube.com/watch?v=8EEp1CTPV0E;3 - Il pentagramma;TheoryITA;Staff;Theory lesson;Rest;Theory lesson;1;Medio;Basso;
38;https://www.youtube.com/watch?v=NCQlKMMSBt0;2 - Gli intervalli;TheoryITA;Intervals;Theory lesson;Rest;Theory lesson;1;Medio;Basso;
39;https://www.youtube.com/watch?v=ZcskZATvbg8;1 - Che cos'è la teoria musicale;TheoryITA;Music theory;Theory lesson;Rest;Theory lesson;1;Medio;Basso;
40;https://www.youtube.com/watch?v=5gzwCf2LokY;Come pulire la tromba velocemente e senza accessori;DIY;Cleaning trumpet, cleaning;Theory lesson;Rest;Theory lesson;1;Medio;Basso;
41;https://www.youtube.com/watch?v=ncSyBt5vQKU;Cosa fare quando si blocca lo scolino dell'acqua;DIY;Trumpet is stuck;Theory lesson;Rest;Theory lesson;1;Medio;Basso;
42;https://www.youtube.com/watch?v=f0vVTl5OtsQ;PARTE 2 James Stemp flow studies no.3;Bflat;Range, sound control, dynamics, sound development;Sound development;Core exercise;Flexibility, range;10;Alto;Alto;
43;https://www.youtube.com/watch?v=RnHRUtWzrh8;Claude Rippas mouthpiece exercises trumpet - Einspielen aus der Mitte book;Mouthpiece;Mouthpiece, vibration, airflow, warmup, ;Warm up;Warm up, check;Rest, breathing, sound development;4;Medio;Medio;
44;https://www.youtube.com/watch?v=_QhsF_TS5Pw;PARTE 1 James Stemp flow studies no.3;Bflat;Range, sound control, dynamics, sound development;Sound development;Core exercise;Flexibility, range, sound development;5;Alto;Medio;
45;https://www.youtube.com/watch?v=RPWW8S9NIRw;Staccato exercise trumpet Allen Vizzutti Technical Study no 1 - ADVANCED LEVEL;Bflat;Range, sound control, dynamics, sound development, legato, staccato;Sound development;Core exercise;Flexibility, range, sound development;10;Alto;Alto;
46;https://www.youtube.com/watch?v=FUs3aUzVbh4;•1 Colin's flexibility trumpet - Flessibilità Colin;Bflat;Intervals, flexibility, range;Intervals;Check;Flexibility, breathing;4;Medio;Medio;
47;https://www.youtube.com/watch?v=piTFUUcKbdE;James Stamp Warm up C trumpet;C;Legato, airflow, sound development, range;Sound development;Check;Breathing, long tones;4;Medio;Basso;
48;https://www.youtube.com/watch?v=HhUMMeJIbr4;Trumpet mouthpiece exercises warm up;Bflat;Mouthpiece, warm up, airflow;Mouthpiece;Warm up, check;Breathing, long tones;3;Basso;Basso;
49;https://www.youtube.com/watch?v=43aPO8eQC-U;James Stamp Warm up trumpet sib;Bflat;Legato, airflow, sound development, range;Sound development;Check;Breathing, long tones;4;Medio;Basso;
50;https://www.youtube.com/watch?v=v160wuJ67hs;Warm Up A. Plog Bb trumpet to the middle E;Bflat;Range, breathing, dynamics, sound development;Sound development;Core exercise;Rest, breathing, sound development;3;Basso;Basso;
51;https://www.youtube.com/watch?v=uycVWwPdZbg;Arpeggio registro medio tromba - Mid register Arpeggio trumpet;Bflat;Airflow, staccato, intervals, range, sound development;Staccato;Core exercise;Rest, breathing, long tones;4;Basso;Medio;
52;https://www.youtube.com/watch?v=YsjRhCWh9bE;Warm Up A. Plog C trumpet to the middle D;C;Range, breathing, dynamics, sound development;Sound development;Core exercise;Rest, breathing, sound development;5;Medio;Medio;
53;https://www.youtube.com/watch?v=uXkQ0bFqoxs;Anthony Plog 6B Staccato exercise;Bflat;Staccato, intervals, range, sound development, dexterity;Staccato;Core exercise;Rest, breathing, long tones;5;Alto;Medio;
54;https://www.youtube.com/watch?v=xzWL739PxrA;Allen Vizzutti | Book 2 | Legato all major scales;Bflat;Dexterity, range, speed, legato, staccato, range;Dexterity;Core exercise;Rest, breathing, long tones, flexibility;6;Alto;Medio;
55;https://www.youtube.com/watch?v=lkLrMbpT3Zw;Warm Up A. Plog Bb trumpet to the middle D;Bflat;Range, breathing, dynamics, sound development;Sound development;Core exercise;Rest, breathing, sound development;3;Basso;Basso;
56;https://www.youtube.com/watch?v=Z58o53eBo0I;Bai Lin Trumpet Flexibility exercise no.3;Bflat;Intervals, airflow, sound development;Intervals;Core exercise;Staccato, breathing;4;Basso;Medio;
57;https://www.youtube.com/watch?v=sKHqnFN_ftA;Arpeggio registro basso tromba - Low register Arpeggio trumpet;Bflat;Airflow, staccato, intervals, range, sound development;Staccato;Core exercise;Rest, breathing, long tones;2;Basso;Basso;
58;https://www.youtube.com/watch?v=pn4PLMdJEJg;Breathing exercise trumpet In - Out - Hold Pattern;Breathing;Airflow, breathing;Breathing;Core exercise;REST;5;Alto;Alto;
59;https://www.youtube.com/watch?v=IUjd9EULA6c;Anthony Plog 6A Staccato exercise;Bflat;Staccato, intervals, range, sound development, dexterity;Staccato;Core exercise;Rest, breathing, long tones;4;Alto;Medio;
60;https://www.youtube.com/watch?v=akQgeiBFn5M;Warm Up A. Plog C trumpet;C;Range, breathing, dynamics, sound development;Sound development;Core exercise;Rest, breathing, sound development;3;Basso;Basso;
61;https://www.youtube.com/watch?v=wWfBUvflybg;Beginner trumpet lesson 6, Allen Vizzutti n.1 , C7th chord;Bflat;Dynamics, sound development, intervals, legato;Legato;Core exercise;Rest, breathing;2;Basso;Basso;
62;https://www.youtube.com/watch?v=p_03y8J_hP0;Warm Up A. Plog Bb trumpet to the middle C;Bflat;Range, breathing, dynamics, sound development;Sound development;Core exercise;Rest, breathing, sound development;3;Basso;Basso;
63;https://www.youtube.com/watch?v=KdWhZkuhBiI;H.L. Clarke Trumpet Studies n.1 - Chromatic scale;Bflat;Airflow, staccato, range, sound development, dexterity;Dexterity;Core exercise;Rest, breathing, long tones;9;Alto;Alto;
64;https://www.youtube.com/watch?v=XGPR1L6ZEtg;Beginner trumpet lesson 4, M.Schlossberg n.1 from low C;Bflat;Dynamics, sound development, staccato;Staccato;Core exercise;Rest, breathing;2;Basso;Basso;
65;https://www.youtube.com/watch?v=w821tAzIqis;Bai Lin Trumpet Flexibility exercise no.1;Bflat;Intervals, airflow, sound development;Intervals;Core exercise;Staccato, breathing;4;Basso;Medio;
66;https://www.youtube.com/watch?v=89AlwCUHVTY;Breathing exercise brass players - Esercizio di respirazione;Breathing;Airflow, breathing;Breathing;Core exercise;REST;5;Alto;Alto;
68;https://www.youtube.com/watch?v=i1zSEI8BG8k;Cichowicz Play Along for Trumpet - Flow Studies 9th serie;Bflat;Legato, airflow;Legato;Core exercise;Breathing, long tones;7;Medio;Alto;
69;https://www.youtube.com/watch?v=fq7V4gGUptY;Cichowicz Play Along for Trumpet - Flow Studies 8th serie;Bflat;Legato, airflow;Legato;Core exercise;Breathing, long tones;6;Medio;Alto;
70;https://www.youtube.com/watch?v=K6bHmi2ZzX0;Beginner trumpet Lesson 1, single tone;Bflat;Dynamics, sound development, staccato;Staccato;Core exercise;Rest, breathing;1;Basso;Basso;
71;https://youtu.be/Md4HTM14-F0?si=HDCVxJ7clC7F2E0N;Beginner trumpet Lesson 2, slurred half tone;Bflat;Dynamics, sound development, intervals, legato;Legato;Core exercise;Rest, breathing;1;Basso;Basso;
72;https://youtu.be/l4jDaC4p0t4?si=gpnFsqjYXLx11znl;Beginner trumpet lesson 9, Allen Vizzutti n.1 , Bb7th chord;Bflat;Dynamics, sound development, intervals;Legato;Core exercise;Rest, breathing;2;Basso;Basso;
73;https://www.youtube.com/watch?v=7BJyINvcMqQ;Cichowicz Play Along for Trumpet - Flow Studies 7th serie;Bflat;Legato, airflow;Legato;Core exercise;Breathing, long tones;5;Medio;Medio;
74;https://www.youtube.com/watch?v=uIFEeqOC6Z0;Cichowicz Play Along for Trumpet - Flow Studies 6st serie;Bflat;Legato, airflow;Legato;Core exercise;Breathing, long tones;4;Medio;Medio;
75;https://www.youtube.com/watch?v=WC5XuArzu7s;Cichowicz Play Along for Trumpet - Flow Studies 5th serie;Bflat;Legato, airflow;Legato;Core exercise;Breathing, long tones;3;Medio;Medio;
76;https://www.youtube.com/watch?v=VOxUcZhe1fc;Single tongue - Staccato semplice DUE OTTAVE DI ESTENSIONE - TWO OCTAVES RANGE;Bflat;Staccato, articulation, range;Staccato;Core exercise;Breathing, flexibility;8;Alto;Alto;
77;https://www.youtube.com/watch?v=EQznofwwvSU;Cichowicz Play Along for Trumpet - Flow Studies 4th serie;Bflat;Legato, airflow;Legato;Core exercise;Breathing, long tones;3;Basso;Medio;
78;https://www.youtube.com/watch?v=X_xKYZHg1hg;Cichowicz Play Along for Trumpet - Flow Studies 3rd serie;Bflat;Legato, airflow;Legato;Core exercise;Breathing, long tones;2;Basso;Basso;
79;https://www.youtube.com/watch?v=MFfYRn1Hs5A;Flessibilità tromba - Trumpet flexibility;Bflat;Airflow, flexibility, intervals;Flexibility;Check;Flexibility, mouthpiece;4;Medio;Medio;
80;https://www.youtube.com/watch?v=ZT2Iqx90gXA;Cichowicz Play Along for Trumpet - Flow Studies 2nd serie;Bflat;Legato, airflow;Legato;Core exercise;Breathing, long tones;2;Basso;Basso;
81;https://www.youtube.com/watch?v=hSUhaShqHc0;Cichowicz Play Along for Trumpet - Flow Studies 1st serie;Bflat;Legato, airflow;Legato;Core exercise;Breathing, long tones;2;Basso;Basso;
82;https://www.youtube.com/watch?v=M3kD60tl4ZE;Breathing exercise - Energy breathing;Breathing;Airflow, breathing;Breathing;Core exercise;REST;3;Alto;Alto;
83;https://www.youtube.com/watch?v=3RN23dvzV8M;Forma 18c - Esercizi staccato per tromba, doppia lingua;Bflat;Double staccato, articulations, range;Double staccato;Core exercise;Breathing, flexibility;4;Medio;Basso;
84;https://www.youtube.com/watch?v=YO-6R8MsXB4;M. Sachs mid long tones trumpet slurs - Esercizio legato sulle note lunghe play along;Bflat;Legato, airflow, sound development, intervals;Legato;Core exercise;Sound development, breathing;4;Medio;Medio;
85;https://www.youtube.com/watch?v=Dg68ZjKWxD0;Esercizio di flessibilità con la tromba - Trumpet flexibility exercise (Link studio in descrizione);Bflat;Flexibility, airflow, intervals;Flexibility;Core exercise;Sound development, intervals;5;Medio;Medio;
86;https://www.youtube.com/watch?v=YLvC51BjrME;Esercizio di respirazione tromba con base - Breathing exercise for trumpet play along;Bflat;Breathing, warm up;Warm up;Warm up;Rest, breathing;2;Basso;Basso;
87;https://www.youtube.com/watch?v=mtCxjHYm0g4;Esercizio legato su una quinta di estensione per tromba - Slur exercise trumpet;Bflat;Legato, airflow, sound development, range;Legato;Warm up, recovery;Breathing, flexibility;2;Basso;Basso;
88;https://www.youtube.com/watch?v=QhTN0o1Ybdg;Come pulire la tromba. Cosa utilizzare e ogni quanto pulirla.;TheoryITA;Cleaning trumpet, cleaning;Theory lesson;Rest;Theory lesson;1;Medio;Basso;
89;https://youtu.be/eMA-rnImvfo;Pierre Thibaud A.B.C. de jeune trompettiste es 1 (first part Bb trumpet);Bflat;Legato, airflow, sound development;Legato;Core exercise;Breathing, sound development;2;Basso;Basso;
90;https://youtu.be/odZra1NLloY;Saint Jacome 1st lesson - Long tones from middle G to low C (trumpet in Bb);Bflat;Staccato, sound control, dynamics, sound development;Staccato;Recovery;Breathing;1;Basso;Basso;
91;https://youtu.be/miZfbmIeOjY;Staccato semplice, moto discendente su un intervallo di 5a per tromba - Tongued exercise trumpet;Bflat;Staccato, sound control, dynamics;Staccato;Core exercise;Staccato simple, flexibility, sound development;2;Basso;Basso;
